uni,website,mastodonUrl,xUri,facebookUrl,linkedInUrl,instagramUrl,blueskyUrl,tiktokUrl,YouTubeUrl
http://www.wikidata.org/entity/Q1622135,http://www.hs-osnabrueck.de/,,https://x.com/HS_Osnabrueck,https://www.facebook.com/hs.osnabrueck,,https://www.instagram.com/hs_osnabrueck,,,https://www.youtube.com/channel/UCblmQHzIyzVHnKHwu0nISrw
http://www.wikidata.org/entity/Q851413,https://www.bht-berlin.de/,,https://x.com/BHT_bln,https://www.facebook.com/BHTbln,https://www.linkedin.com/company/berliner-hochschule-für-technik-bht,https://www.instagram.com/bht_studierezukunft,,,https://www.youtube.com/channel/UCZlrBVO9MSDGaKhC3cZbWAQ
http://www.wikidata.org/entity/Q883036,http://www.hs-wismar.de,,https://x.com/HSWismarPresse,https://www.facebook.com/HochschuleWismar,https://www.linkedin.com/company/hochschule-wismar,https://www.instagram.com/hochschule_wismar,,,https://www.youtube.com/channel/UCa6oKtYD3Ez8LbJcsEuk8Cw
http://www.wikidata.org/entity/Q884503,https://www.fh-zwickau.de/,,https://x.com/WHZ_Zwickau,https://www.facebook.com/fh.zwickau,https://www.linkedin.com/company/westsachsische-hochschule-zwickau,https://www.instagram.com/hochschulezwickau,,,https://www.youtube.com/channel/UCs9cSNX9SCpk4mn_0jLkXow
http://www.wikidata.org/entity/Q911561,http://www.mh-hannover.de/,,https://x.com/MHH_life,https://www.facebook.com/MHHnova,https://www.linkedin.com/company/medizinische-hochschule-hannover,https://www.instagram.com/medizinischehochschule,,,https://www.youtube.com/channel/UCRsY8xhMQE2vHzgkBEEnzkw
http://www.wikidata.org/entity/Q982435,http://www.oth-regensburg.de/,,https://x.com/OTH_Regensburg,https://www.facebook.com/oth.regensburg.de,https://www.linkedin.com/company/fachhochschule-regensburg,https://www.instagram.com/oth_regensburg,,,https://www.youtube.com/channel/UCTlHprZiB2OYT4D5MOhz-sQ
http://www.wikidata.org/entity/Q1550192,http://www.filmuniversitaet.de/,,https://x.com/Filmuni,https://www.facebook.com/Filmuniversitaet,https://www.linkedin.com/company/filmuniversitaet,https://www.instagram.com/filmuni,,,https://www.youtube.com/channel/UClR-YEgtjMWlhAN7RDX7hAg
http://www.wikidata.org/entity/Q1622092,http://www.hs-bremen.de/,,https://x.com/HSBremen,https://www.facebook.com/HSB.HochschuleBremen,https://www.linkedin.com/company/hsbremen,https://www.instagram.com/hsb.hochschulebremen,,,https://www.youtube.com/channel/UCD1Qd3zJGBaTVHO06UgXmgA
http://www.wikidata.org/entity/Q1622096,http://www.hs-emden-leer.de/,,https://x.com/HS_EmdenLeer,https://www.facebook.com/hochschule.emden.leer,https://www.linkedin.com/company/hochschule-emden-leer,https://www.instagram.com/hs.emden.leer,,,https://www.youtube.com/channel/UCBwRmC54FXW61FsE_aoxtqw
http://www.wikidata.org/entity/Q1622121,http://www.haw-landshut.de/,,https://x.com/HaWLandshut,https://www.facebook.com/HAW.Landshut,https://www.linkedin.com/company/hochschule-landshut,https://www.instagram.com/hochschulelandshut,,,https://www.youtube.com/channel/UCW36rNOxQlv7CjN7DrzX9sg
http://www.wikidata.org/entity/Q1622126,https://www.hs-merseburg.de/,,https://x.com/hsmerseburg,https://www.facebook.com/HochschuleMerseburg,https://www.linkedin.com/company/hochschule-merseburg,https://www.instagram.com/hochschulemerseburg,,,https://www.youtube.com/channel/UClka0HynJRV5EdaDrbNKvlQ
http://www.wikidata.org/entity/Q1622129,https://www.hnu.de/,,https://x.com/hs_neu_ulm,https://www.facebook.com/HochschuleNeuUlm,https://www.linkedin.com/company/hochschule-neu-ulm,https://www.instagram.com/hochschule_neu_ulm,,https://www.tiktok.com/@hochschule_neu_ulm,https://www.youtube.com/channel/UCSm55exzvDBeusbAErPkesw
